,word,sent,order,search_word,relation
0,tench,tenca is a translation of tench.,1,tench,Synonym
1,tench,Tinca tinca is a translation of tench.,1,tench,Synonym
2,tench,suutari is a translation of tench.,1,tench,Synonym
3,tench,ikan air tawar yang terdapat di Eropa dan Asia Barat terkenal mampu hidup di darat is a translation of tench.,1,tench,Synonym
4,tench,tanche is a translation of tench.,1,tench,Synonym
5,tench,tench is a type of cyprinid.,1,tench,IsA
6,tench,tinca tinca is a translation of tench.,1,tench,Synonym
7,tench,Tinca tinca is a synonym of tench.,1,tench,Synonym
8,tench,Tinca tinca is a translation of tench.,1,tench,Synonym
9,tench,tinca tinca is a translation of tench.,1,tench,Synonym
10,tench,tenka is a translation of tench.,1,tench,Synonym
11,tench,tinca is a translation of tench.,1,tench,Synonym
12,goldfish,a goldfish is a carp.,1,goldfish,IsA
13,goldfish,Carassius auratus is a translation of goldfish.,1,goldfish,Synonym
14,goldfish,poisson rouge is a translation of goldfish.,1,goldfish,Synonym
15,goldfish,Carassius auratus is a translation of goldfish.,1,goldfish,Synonym
16,goldfish,ikan emas is a translation of goldfish.,1,goldfish,Synonym
17,goldfish,kultakala is a translation of goldfish.,1,goldfish,Synonym
18,goldfish,peix de colors is a translation of goldfish.,1,goldfish,Synonym
19,goldfish,pesce rosso is a translation of goldfish.,1,goldfish,Synonym
20,goldfish,Carassius auratus is a synonym of goldfish.,1,goldfish,Synonym
21,goldfish,Carassius auratus is a translation of goldfish.,1,goldfish,Synonym
22,goldfish,goldfish is a type of cyprinid.,1,goldfish,IsA
23,goldfish,doirada is a translation of goldfish.,1,goldfish,Synonym
24,goldfish,silverfish is a type of goldfish.,1,goldfish,IsA
25,goldfish,carassio dorato pesce rosso is a translation of goldfish.,1,goldfish,Synonym
26,goldfish,carassius auratus is a translation of goldfish.,1,goldfish,Synonym
27,goldfish,goldfish is a kind of fish.,1,goldfish,IsA
28,goldfish,ikan mas is a translation of goldfish.,1,goldfish,Synonym
29,goldfish,ikan emas is a translation of goldfish.,1,goldfish,Synonym
30,goldfish,carassin is a translation of goldfish.,1,goldfish,Synonym
31,goldfish,carassius auratus is a translation of goldfish.,1,goldfish,Synonym
32,goldfish,A goldfish is kept in a tank of water.,1,goldfish,ReceivesAction
33,goldfish,a goldfish wants a bowl.,1,goldfish,Desires
34,goldfish,goldfish can be found in fishbowls.,1,goldfish,ReceivesAction
35,goldfish,A goldfish is for feeding to an oscar.,1,goldfish,UsedFor
