,word,sent,order,search_word,relation
0,Chihuahua,Chihuahua is a translation of Chihuahua.,2,chihuahua,Synonym
1,Chihuahua,Chihuahua is a translation of Chihuahua.,2,chihuahua,Synonym
2,Chihuahua,Chihuahua is a translation of Chihuahua.,2,chihuahua,Synonym
3,Chihuahua,Chihuahua is a translation of Chihuahua.,2,chihuahua,Synonym
4,Chihuahua,chihuahua is a translation of Chihuahua.,2,chihuahua,Synonym
5,Chihuahua,chihuahua is a translation of chihuahua.,2,chihuahua,Synonym
6,Chihuahua,Chihuahua is a type of toy dog.,2,chihuahua,IsA
7,Chihuahua,chihuahua is a translation of Chihuahua.,2,chihuahua,Synonym
8,Chihuahua,Chihuahua is a synonym of chihuahua.,2,chihuahua,Synonym
9,Chihuahua,Chihuahua is a translation of Chihuahua.,2,chihuahua,Synonym
10,Chihuahua,chihuahua is a translation of Chihuahua.,2,chihuahua,Synonym
11,Chihuahua,chihuahua is a part of Chihuahua.,2,chihuahua,PartOf
12,Chihuahua,Chihuahua is a translation of Chihuahua.,2,chihuahua,Synonym
13,Chihuahua,Chihuahua is in Mexico.,2,chihuahua,IsA
14,Chihuahua,a chihuahua wants to be kept warm.,2,chihuahua,Desires
15,Maltese,Maltese is a synonym of Maltese cat.,2,maltese,Synonym
16,Maltese,orang Malta is a translation of Maltese.,2,maltese,Synonym
17,Maltese,Maltese is a type of European.,2,maltese,IsA
18,Maltese,maltalainen is a translation of Maltese.,2,maltese,Synonym
19,Maltese,Malta is a translation of Maltese.,2,maltese,Synonym
20,Maltese,Maltese is a synonym of Maltese dog.,2,maltese,Synonym
21,Maltese,maltais is a translation of Maltese.,2,maltese,Synonym
22,Maltese,Maltan is a translation of Maltese.,2,maltese,Synonym
23,Maltese,maltalainen is a translation of Maltese.,2,maltese,Synonym
24,Maltese,Malta is a translation of Maltese.,2,maltese,Synonym
25,Maltese,Maltese is a synonym of Maltese language.,2,maltese,Synonym
26,Maltese,maltese is a translation of Maltese.,2,maltese,Synonym
27,Pekingese,Pekingese is a synonym of Pekinese.,2,pekingese,Synonym
28,Papillon,papillon is a translation of papillon.,2,papillon,Synonym
29,Papillon,papillon is a type of toy spaniel.,2,papillon,IsA
30,Papillon,perhoskoira is a translation of papillon.,2,papillon,Synonym
31,Papillon,papillon is a translation of papillon.,2,papillon,Synonym
32,Beagle,beagle is a kind of dog.,2,beagle,IsA
33,Beagle,anjing pacuan is a translation of beagle.,2,beagle,Synonym
34,Beagle,gos perdiguer is a translation of beagle.,2,beagle,Synonym
35,Beagle,anjing berkaki pendek is a translation of beagle.,2,beagle,Synonym
36,Beagle,perdiguer is a translation of beagle.,2,beagle,Synonym
37,Beagle,anjing pemburu is a translation of beagle.,2,beagle,Synonym
38,Beagle,beagle is a translation of beagle.,2,beagle,Synonym
39,Beagle,beagle is a translation of beagle.,2,beagle,Synonym
40,Beagle,beagle is a translation of beagle.,2,beagle,Synonym
41,Beagle,beagle is a type of hound.,2,beagle,IsA
42,Beagle,beagle is a translation of beagle.,2,beagle,Synonym
43,Beagle,anjing pemburu is a translation of beagle.,2,beagle,Synonym
44,Beagle,beagle is a translation of beagle.,2,beagle,Synonym
45,Beagle,a beagle can hunt for rabbits.,2,beagle,CapableOf
46,Beagle,dog is related to beagle.,2,beagle,RelatedTo
47,Bloodhound,can de presa is a translation of bloodhound.,2,bloodhound,Synonym
48,Bloodhound,anjing pemburu is a translation of bloodhound.,2,bloodhound,Synonym
49,Bloodhound,bloodhound is a type of hound.,2,bloodhound,IsA
50,Bloodhound,gos coniller is a translation of bloodhound.,2,bloodhound,Synonym
51,Bloodhound,anjing pemburu is a translation of bloodhound.,2,bloodhound,Synonym
52,Bloodhound,segugio is a translation of bloodhound.,2,bloodhound,Synonym
53,Bloodhound,untxari is a translation of bloodhound.,2,bloodhound,Synonym
54,Bloodhound,bracco is a translation of bloodhound.,2,bloodhound,Synonym
55,Bloodhound,limier is a translation of bloodhound.,2,bloodhound,Synonym
56,Bloodhound,sleuthhound is a synonym of bloodhound.,2,bloodhound,Synonym
57,Bloodhound,vihikoira is a translation of bloodhound.,2,bloodhound,Synonym
58,Bloodhound,verikoira is a translation of bloodhound.,2,bloodhound,Synonym
59,Bloodhound,limiere is a translation of bloodhound.,2,bloodhound,Synonym
60,Bloodhound,a bloodhound can tail a suspect.,2,bloodhound,CapableOf
61,Bloodhound,Bloodhound is one type of dog.,2,bloodhound,IsA
62,Bloodhound,An activity a bloodhound can do is track down missing people.,2,bloodhound,CapableOf
63,Whippet,whippet is a translation of whippet.,2,whippet,Synonym
64,Whippet,Whippet is a translation of whippet.,2,whippet,Synonym
65,Whippet,whippet is a type of greyhound.,2,whippet,IsA
66,Whippet,piccolo levriero inglese is a translation of whippet.,2,whippet,Synonym
67,Whippet,whippet is a translation of whippet.,2,whippet,Synonym
68,Whippet,whippet is a translation of whippet.,2,whippet,Synonym
69,Otterhound,saukkokoira is a translation of otterhound.,2,otterhound,Synonym
70,Otterhound,otterhound is a type of hound.,2,otterhound,IsA
71,Otterhound,otter hound is a synonym of otterhound.,2,otterhound,Synonym
72,Otterhound,otterhound is a translation of otterhound.,2,otterhound,Synonym
73,Saluki,levriero persiano is a translation of Saluki.,2,saluki,Synonym
74,Saluki,Persianvinttikoira is a translation of Saluki.,2,saluki,Synonym
75,Saluki,Saluki is a translation of Saluki.,2,saluki,Synonym
76,Saluki,Saluki is a translation of Saluki.,2,saluki,Synonym
77,Saluki,Saluki is a translation of Saluki.,2,saluki,Synonym
78,Saluki,gazelle hound is a synonym of Saluki.,2,saluki,Synonym
79,Saluki,saluki is a translation of Saluki.,2,saluki,Synonym
80,Saluki,Saluki is a type of hound.,2,saluki,IsA
81,Weimaraner,braque de Weimar is a translation of Weimaraner.,2,weimaraner,Synonym
82,Weimaraner,weimarinseisoja is a translation of Weimaraner.,2,weimaraner,Synonym
83,Weimaraner,Weimaraner is a translation of Weimaraner.,2,weimaraner,Synonym
84,Weimaraner,Weimaraner is a type of hound.,2,weimaraner,IsA
85,Vizsla,vizsla is a synonym of vizla.,2,vizsla,Synonym
86,Kuvasz,kuvasz is a type of watchdog.,2,kuvasz,IsA
87,Kuvasz,kuvasz is a translation of kuvasz.,2,kuvasz,Synonym
88,Schipperke,schipperke is a translation of schipperke.,2,schipperke,Synonym
89,Schipperke,schipperke is a translation of schipperke.,2,schipperke,Synonym
90,Schipperke,schipperke is a translation of schipperke.,2,schipperke,Synonym
91,Schipperke,schipperke is a type of watchdog.,2,schipperke,IsA
92,Malinois,malinois is a type of Belgian sheepdog.,2,malinois,IsA
93,Malinois,pastore belga di Malines is a translation of malinois.,2,malinois,Synonym
94,Malinois,belgianpaimenkoira malinois is a translation of malinois.,2,malinois,Synonym
95,Malinois,Malinois is a translation of malinois.,2,malinois,Synonym
96,Briard,pastor de brie is a translation of briard.,2,briard,Synonym
97,Briard,briard is a translation of briard.,2,briard,Synonym
98,Briard,berger de brie is a translation of briard.,2,briard,Synonym
99,Briard,briard is a translation of briard.,2,briard,Synonym
100,Briard,briard is a type of shepherd dog.,2,briard,IsA
101,Komondor,komondor is a translation of komondor.,2,komondor,Synonym
102,Komondor,komondor is a translation of komondor.,2,komondor,Synonym
103,Komondor,komondor is a type of shepherd dog.,2,komondor,IsA
104,Komondor,komondor is a translation of komondor.,2,komondor,Synonym
105,Komondor,komondor is a translation of komondor.,2,komondor,Synonym
106,Rottweiler,Rottweiler is a translation of Rottweiler.,2,rottweiler,Synonym
107,Rottweiler,a rottweiler is a type of dog.,2,rottweiler,IsA
108,Rottweiler,Rottweiler is a type of shepherd dog.,2,rottweiler,IsA
109,Rottweiler,Rottweiler is a translation of Rottweiler.,2,rottweiler,Synonym
110,Rottweiler,Rottweiler is a translation of Rottweiler.,2,rottweiler,Synonym
111,Rottweiler,rottweiler is a translation of Rottweiler.,2,rottweiler,Synonym
112,Rottweiler,You can use a Rottweiler to sic on intruders.,2,rottweiler,UsedFor
113,Boxer,Boxer is a translation of Boxer.,2,boxer,Synonym
114,Boxer,a boxer can strike the opponent.,2,boxer,CapableOf
115,Boxer,peninju is a translation of Boxer.,2,boxer,Synonym
116,Boxer,a boxer can fight an opponent.,2,boxer,CapableOf
117,Boxer,a boxer can hurt an opponent.,2,boxer,CapableOf
118,Boxer,peninju is a translation of Boxer.,2,boxer,Synonym
119,Boxer,puxilista is a translation of boxer.,2,boxer,Synonym
120,Boxer,petinju is a translation of boxer.,2,boxer,Synonym
121,Boxer,boxeur is a translation of Boxer.,2,boxer,Synonym
122,Boxer,boxeador is a translation of boxer.,2,boxer,Synonym
123,Boxer,Boxer is a type of Chinese.,2,boxer,IsA
124,Boxer,boxer is a translation of boxer.,2,boxer,Synonym
125,Boxer,light middleweight is a type of boxer.,2,boxer,IsA
126,Boxer,pugilista is a translation of boxer.,2,boxer,Synonym
127,Boxer,junior middleweight is a type of boxer.,2,boxer,IsA
128,Boxer,middleweight is a type of boxer.,2,boxer,IsA
129,Boxer,boxador is a translation of boxer.,2,boxer,Synonym
